#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BayesianSkyline.t:hcv" spec="beast.evolution.tree.coalescent.BayesianSkyline">
#            <parameter dimension="4" id="bPopSizes.t:hcv" lower="0.0" name="popSizes" spec="beast.core.parameter.RealParameter">380.0</parameter>
#            <groupSizes dimension="4" id="bGroupSizes.t:hcv" spec="beast.core.parameter.IntegerParameter">1</groupSizes>
#            <treeIntervals id="BSPTreeIntervals.t:hcv" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:hcv" spec="beast.evolution.tree.Tree">
#                    <taxonset id="TaxonSet.hcv" spec="beast.evolution.alignment.TaxonSet">
#                    </taxonset>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <distribution id="MarkovChainedPopSizes.t:hcv" jeffreys="true" parameter="@bPopSizes.t:hcv" spec="beast.math.distributions.MarkovChainDistribution"/>
#        <prior id="FrequenciesPrior.s:hcv" name="distribution">
#            <parameter dimension="4" id="freqParameter.s:hcv" lower="0.0" name="x" spec="beast.core.parameter.RealParameter" upper="1.0">0.25</parameter>
#            <Uniform id="Uniform.3" name="distr"/>
#        </prior>
#        <prior id="KappaPrior.s:hcv" name="distribution">
#            <parameter id="kappa.s:hcv" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="S" spec="beast.core.parameter.RealParameter">1.25</parameter>
#            </LogNormal>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@hcv" id="treeLikelihood.hcv" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:hcv">
#            <siteModel id="SiteModel.s:hcv" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:hcv" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:hcv" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:hcv" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:hcv" kappa="@kappa.s:hcv" spec="beast.evolution.substitutionmodel.HKY">
#                    <frequencies frequencies="@freqParameter.s:hcv" id="estimatedFreqs.s:hcv" spec="beast.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:hcv" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:hcv" name="clock.rate" spec="beast.core.parameter.RealParameter">7.9E-4</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	kappa	BayesianSkyline	bPopSizes.1	bPopSizes.2	bPopSizes.3	bPopSizes.4	bGroupSizes.1	bGroupSizes.2	bGroupSizes.3	bGroupSizes.4	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4
0	-28962.541441477446	-28565.510945727576	-397.0304957498705	-28565.510945727576	1.750467138102323	2.0	-368.4044507050145	380.0	380.0	380.0	380.0	16	16	15	15	0.25	0.25	0.25	0.25
3000	-9677.748904770799	-9150.896357025304	-526.8525477454956	-9150.896357025304	404.42436204465264	2.749679985516689	-492.3435732748305	7189.909730349809	1508.4021821515157	590.4081267832922	173.3853623653117	4	21	31	6	0.25558264179072254	0.25348835683515536	0.24092900137412207	0.25
6000	-8174.08672475466	-7670.968964057605	-503.11776069705473	-7670.968964057605	266.8240627906141	3.2135657828070983	-467.4613524807324	13613.659565110362	1002.0900531976584	633.8086349010806	147.4465339157649	4	28	26	4	0.2496666438860926	0.25348835683515536	0.2445968758638113	0.2522481234149407
9000	-7660.202034117842	-7175.2001058609285	-485.00192825691335	-7175.2001058609285	237.64905316304683	8.62229246786197	-449.8057379285798	12227.146756345728	849.5392938301468	203.00488808780872	57.68551032697027	6	24	30	2	0.24689889166108028	0.2562561090601677	0.2380801842165305	0.2587648150622215
12000	-7413.57789596986	-6930.215726186568	-483.36216978329236	-6930.215726186568	230.94624555004782	8.62229246786197	-448.04617104487784	9056.390870415918	1099.9376890559838	265.0752311309544	112.7199056195605	11	15	34	2	0.24689889166108028	0.25629597972812523	0.23758354013287494	0.2592215884779195
15000	-7380.068404102114	-6900.017034814769	-480.05136928734504	-6900.017034814769	256.2000664571642	8.62229246786197	-445.6933277652999	6764.876876841572	1042.1768954265751	209.23018847743907	72.99616269788994	9	18	34	1	0.24282743627053915	0.25629597972812523	0.23758354013287494	0.26329304386846064
18000	-7375.54588369968	-6891.239236033801	-484.3066476658795	-6891.239236033801	246.39123484811344	8.62229246786197	-449.7583660692639	6052.123534682586	1092.6362582300958	168.033838120893	160.34997504173006	9	13	18	22	0.23558470287053535	0.2497311676585357	0.23758354013287494	0.277100589338054
21000	-7334.330846725984	-6858.0164101918745	-476.3144365341096	-6858.0164101918745	247.11719320767827	8.62229246786197	-442.1933665585713	7976.558373583648	646.5892767053323	105.55132807504593	111.30290525673587	10	23	12	17	0.23035418847143949	0.2497311676585357	0.2428140545319708	0.277100589338054
24000	-7339.11567140477	-6862.542642397622	-476.5730290071477	-6862.542642397622	246.3750392470708	8.62229246786197	-441.5099048074264	9924.000737522676	689.7648803169199	95.57409716582292	155.83759396274394	9	22	14	17	0.23035418847143949	0.2497311676585357	0.2428140545319708	0.277100589338054
27000	-7366.284423423491	-6876.055573761958	-490.2288496615325	-6876.055573761958	282.5908210281644	8.782748162419653	-453.3234356860717	16115.674413578097	940.0192667152595	291.68645954421646	258.1717917410417	9	17	10	26	0.23035418847143949	0.24999361331820869	0.24255160887229782	0.277100589338054
30000	-7340.4993768463155	-6868.489537916972	-472.009838929343	-6868.489537916972	255.22062181798557	7.624662075960291	-436.46399126836815	10021.219846927776	1015.9611054029671	218.8985187520703	214.08595964244356	8	11	35	8	0.23342341886259887	0.24999361331820869	0.22657313499093454	0.2900098328282579
33000	-7321.989846917504	-6844.617168121602	-477.3726787959023	-6844.617168121602	263.10610838746965	7.9585589244913795	-441.5072420671294	13620.336935824353	835.9889231767346	387.8750215200946	10.293148648412606	8	6	47	1	0.23342341886259887	0.264354703818557	0.21221204449058617	0.2900098328282579
36000	-7330.191870082558	-6851.6972148550285	-478.4946552275296	-6851.6972148550285	238.67818489505478	8.690552450403814	-442.19470486018565	15727.898157517116	969.7547514199001	238.4688426470698	137.8704245370382	7	15	25	15	0.23342341886259887	0.25058293042697394	0.23217145057156885	0.2838222001388583
39000	-7340.365488763005	-6859.654940111022	-480.7105486519824	-6859.654940111022	256.37501867667316	8.690552450403814	-445.3204686295545	6070.823951570748	1605.2642603769548	383.8266227934747	152.08970529121478	8	11	19	24	0.23342341886259887	0.25058293042697394	0.21525555619700876	0.3007380945134184
42000	-7311.71229374528	-6838.985203582829	-472.7270901624502	-6838.985203582829	237.96370790304448	8.690552450403814	-436.4550182011374	7292.480657280385	462.53989640982746	780.9549889669787	154.01862052892807	8	2	10	42	0.23342341886259887	0.25058293042697394	0.21525555619700876	0.3007380945134184
45000	-7313.6943011064395	-6831.678503524848	-482.0157975815915	-6831.678503524848	241.27323978472043	8.086669475481687	-446.3552960210712	9141.189302127887	946.1447154989959	432.1187617646084	140.6342799870736	11	10	4	37	0.23342341886259887	0.2612282974449508	0.21525555619700876	0.2900927274954415
48000	-7305.424132156654	-6826.03939634003	-479.38473581662413	-6826.03939634003	251.27795656521607	8.1132043901072	-441.8397173825405	3223.515646259976	6301.572422731993	794.3876776575062	209.15558217725183	4	10	3	45	0.23342341886259887	0.2612282974449508	0.21525555619700876	0.2900927274954415
51000	-7294.019205251795	-6818.546610510797	-475.4725947409976	-6818.546610510797	215.10612541619702	7.208244030345787	-439.61552003640156	3725.7571927786007	3995.229471412334	479.1353722990281	159.20836579731932	6	8	12	36	0.23342341886259887	0.2612282974449508	0.21525555619700876	0.2900927274954415
54000	-7290.715490916598	-6809.261496585355	-481.4539943312427	-6809.261496585355	232.50695224972563	6.632504175217417	-448.22203688610523	4608.12634503061	516.3653653606	123.07814001917498	204.56732301581926	15	12	5	30	0.23194393716234044	0.2612282974449508	0.21742782552031995	0.28939993987238877
57000	-7309.811015497047	-6823.882019139331	-485.92899635771624	-6823.882019139331	261.9899468070678	8.232483925328909	-448.8466846985649	10424.63564132167	1607.3646524930941	811.1727533355026	158.73957625636774	10	4	7	41	0.21234831134329896	0.2612282974449508	0.20988504251347842	0.31653834869827174
60000	-7280.752821801665	-6808.331518348789	-472.42130345287563	-6808.331518348789	234.2201300766643	6.771802710702358	-437.3849589963919	3652.5140236421357	1349.2218602262242	936.2047679498143	183.6356669190033	10	7	4	41	0.21234831134329896	0.2612282974449508	0.20988504251347842	0.31653834869827174
63000	-7290.061107334347	-6809.838182987375	-480.2229243469716	-6809.838182987375	225.28189575557457	6.771802710702358	-444.838602621282	5863.960808152276	1967.8774667577782	514.0563281229886	146.9425884175024	11	5	10	36	0.21725818299323504	0.2682936057921438	0.22095809935331046	0.2934901118613107
66000	-7276.5944695332855	-6799.937317016912	-476.65715251637346	-6799.937317016912	250.09124781408286	8.757508956024134	-440.6962576023923	5825.605269692863	961.7546584823344	837.7137069293874	197.13924546426574	10	13	1	38	0.21725818299323504	0.27677080137818555	0.22095809935331046	0.2850129162752689
